time	V(in)	V(out)
4.693247501730252e-003	3.067525e+000	3.821261e-001
4.712706936317116e-003	2.872931e+000	4.634702e-001
4.729608015839631e-003	2.703920e+000	5.710596e-001
4.738981614345302e-003	2.610184e+000	6.713379e-001
4.745165314056955e-003	2.548347e+000	8.076542e-001
4.749774576580116e-003	2.502254e+000	1.017332e+000
4.754477046386162e-003	2.455230e+000	1.331880e+000
4.758224066467275e-003	2.417759e+000	1.603212e+000
4.762677425886417e-003	2.373226e+000	1.915431e+000
4.771584144724702e-003	2.284159e+000	2.505122e+000
4.784550827892514e-003	2.154492e+000	3.280019e+000
4.798783166740260e-003	2.012168e+000	3.972226e+000
4.818912704036438e-003	1.810873e+000	4.632104e+000
4.838662424349880e-003	1.613376e+000	4.944226e+000
4.853293892195133e-003	1.467061e+000	4.999705e+000
4.865915491770167e-003	1.340845e+000	4.999951e+000
4.944423340987290e-003	5.557666e-001	4.999951e+000
5.000000005000008e-003	0.000000e+000	5.000055e+000
5.001100671831835e-003	1.100667e-002	5.000051e+000
5.003302005495488e-003	3.302000e-002	5.000049e+000
5.069342015405090e-003	6.934201e-001	5.000049e+000
5.139784692641997e-003	1.397847e+000	4.984893e+000
5.168547521559461e-003	1.685475e+000	4.867819e+000
5.184431858094279e-003	1.844319e+000	4.590876e+000
5.199588477691548e-003	1.995885e+000	4.052603e+000
5.217296134962269e-003	2.172961e+000	3.126052e+000
5.247021613467164e-003	2.470216e+000	1.261702e+000
5.255219476420871e-003	2.552195e+000	8.158952e-001
5.259557480525920e-003	2.595575e+000	6.838633e-001
5.262852207968958e-003	2.628522e+000	6.362192e-001
5.266795019821987e-003	2.667950e+000	5.935937e-001
5.273100250366138e-003	2.731003e+000	5.406531e-001
5.281631545769854e-003	2.816315e+000	4.852003e-001
5.290605433657956e-003	2.906054e+000	4.411238e-001
5.306345992150476e-003	3.063460e+000	3.834311e-001
5.323241711269559e-003	3.232417e+000	3.353191e-001
5.332294954676768e-003	3.322949e+000	3.145017e-001
5.346192062622385e-003	3.461920e+000	2.883713e-001
5.351357412353995e-003	3.513574e+000	2.799455e-001
5.356522762085605e-003	3.565228e+000	2.719946e-001
5.361688111817215e-003	3.616881e+000	2.645185e-001
5.366853461548825e-003	3.668535e+000	2.575174e-001
5.372018811280434e-003	3.720188e+000	2.509912e-001
5.377184161012045e-003	3.771842e+000	2.449398e-001
5.382349510743655e-003	3.823495e+000	2.393633e-001
5.407471339914744e-003	4.074713e+000	2.153285e-001
5.449756346657831e-003	4.497563e+000	1.840162e-001
5.500000005100010e-003	5.000000e+000	1.545525e-001
5.500000052028601e-003	5.000000e+000	1.545519e-001
5.500000098957193e-003	4.999999e+000	1.545512e-001
5.500000145885784e-003	4.999999e+000	1.545506e-001
5.500000192814376e-003	4.999998e+000	1.545500e-001
5.500000239742967e-003	4.999998e+000	1.545494e-001
5.500000286671559e-003	4.999997e+000	1.545489e-001
5.500000333600151e-003	4.999997e+000	1.545483e-001
5.500001316640573e-003	4.999987e+000	1.545386e-001
5.500002627361137e-003	4.999974e+000	1.545303e-001
5.500005248802263e-003	4.999948e+000	1.545216e-001
5.500010491684516e-003	4.999895e+000	1.545167e-001
5.500020977449022e-003	4.999790e+000	1.545187e-001
5.517221656549947e-003	4.827783e+000	1.628009e-001
5.534422335650872e-003	4.655777e+000	1.725588e-001
5.551623014751798e-003	4.483770e+000	1.837924e-001
5.568823693852724e-003	4.311763e+000	1.965017e-001
5.586024372953650e-003	4.139756e+000	2.106867e-001
5.603225052054575e-003	3.967750e+000	2.263474e-001
5.620425731155501e-003	3.795743e+000	2.434838e-001
5.639668994521792e-003	3.603310e+000	2.671204e-001
5.654033527445377e-003	3.459665e+000	2.887608e-001
5.659675346452063e-003	3.403247e+000	2.982193e-001
5.665317165458748e-003	3.346828e+000	3.090188e-001
5.670958984465434e-003	3.290410e+000	3.211595e-001
5.676600803472119e-003	3.233992e+000	3.346413e-001
5.682242622478805e-003	3.177574e+000	3.494642e-001
5.687884441485490e-003	3.121156e+000	3.656282e-001
5.693526260492176e-003	3.064738e+000	3.831333e-001
5.713209931123555e-003	2.867901e+000	4.661752e-001
5.730018494786263e-003	2.699815e+000	5.745149e-001
5.739190231039295e-003	2.608098e+000	6.743492e-001
5.745325445857759e-003	2.546746e+000	8.130102e-001
5.749904182514223e-003	2.500958e+000	1.024748e+000
5.754505612749956e-003	2.454944e+000	1.333968e+000
5.758327258068313e-003	2.416728e+000	1.610557e+000
5.762822721494772e-003	2.371773e+000	1.925457e+000
5.771813648347689e-003	2.281864e+000	2.520202e+000
5.784529005982026e-003	2.154710e+000	3.279924e+000
5.798563881084114e-003	2.014361e+000	3.961464e+000
5.819252188306531e-003	1.807478e+000	4.633460e+000
5.839643449888739e-003	1.603566e+000	4.947965e+000
5.854027921657418e-003	1.459721e+000	4.999932e+000
6.000000006000010e-003	4.440892e-015	4.999967e+000
6.001100660108488e-003	1.100654e-002	5.000021e+000
6.003301968325445e-003	3.301962e-002	5.000049e+000
6.069341214834155e-003	6.934121e-001	5.000049e+000
6.139783077776778e-003	1.397831e+000	4.984855e+000
6.168558988904373e-003	1.685590e+000	4.867684e+000
6.184436655864339e-003	1.844367e+000	4.590804e+000
6.199585640128008e-003	1.995856e+000	4.052708e+000
6.217308135487964e-003	2.173081e+000	3.125299e+000
6.247032209494983e-003	2.470322e+000	1.261155e+000
6.255230758200111e-003	2.552308e+000	8.155395e-001
6.259566604630284e-003	2.595666e+000	6.837085e-001
6.262860482892372e-003	2.628605e+000	6.361151e-001
6.266803541471038e-003	2.668035e+000	5.935116e-001
6.273118302404288e-003	2.731183e+000	5.405203e-001
6.281649535347719e-003	2.816495e+000	4.851003e-001
6.290636099508058e-003	2.906361e+000	4.409867e-001
6.306356322081214e-003	3.063563e+000	3.833890e-001
6.323240167368319e-003	3.232402e+000	3.353197e-001
6.332279643284527e-003	3.322796e+000	3.145340e-001
6.346191352250103e-003	3.461913e+000	2.883722e-001
6.351348508696445e-003	3.513485e+000	2.799592e-001
6.356505665142787e-003	3.565057e+000	2.720198e-001
6.361662821589129e-003	3.616628e+000	2.645539e-001
6.366819978035470e-003	3.668200e+000	2.575616e-001
6.371977134481813e-003	3.719771e+000	2.510429e-001
6.377134290928154e-003	3.771343e+000	2.449977e-001
6.382291447374497e-003	3.822914e+000	2.394261e-001
6.407359981085379e-003	4.073600e+000	2.154343e-001
6.449862938578247e-003	4.498629e+000	1.839560e-001
6.500000006100012e-003	5.000000e+000	1.545523e-001
6.500000053028563e-003	5.000000e+000	1.545517e-001
6.500000099957114e-003	4.999999e+000	1.545511e-001
6.500000146885665e-003	4.999999e+000	1.545505e-001
6.500000193814215e-003	4.999998e+000	1.545499e-001
6.500000240742767e-003	4.999998e+000	1.545493e-001
6.500000287671317e-003	4.999997e+000	1.545487e-001
6.500000334599868e-003	4.999997e+000	1.545481e-001
6.500001317639438e-003	4.999987e+000	1.545385e-001
6.500002628358865e-003	4.999974e+000	1.545302e-001
6.500005249797717e-003	4.999948e+000	1.545216e-001
6.500010492675422e-003	4.999895e+000	1.545167e-001
6.500020978430833e-003	4.999790e+000	1.545187e-001
6.517222138995328e-003	4.827778e+000	1.628011e-001
6.534423299559822e-003	4.655767e+000	1.725594e-001
6.551624460124318e-003	4.483755e+000	1.837935e-001
6.568825620688813e-003	4.311744e+000	1.965034e-001
6.586026781253309e-003	4.139732e+000	2.106891e-001
6.603227941817803e-003	3.967721e+000	2.263506e-001
6.620429102382299e-003	3.795709e+000	2.434880e-001
6.639673160777170e-003	3.603268e+000	2.671265e-001
6.654029233027898e-003	3.459708e+000	2.887532e-001
6.659612995867621e-003	3.403870e+000	2.981225e-001
6.665196758707343e-003	3.348032e+000	3.087924e-001
6.670780521547065e-003	3.292195e+000	3.207631e-001
6.676364284386787e-003	3.236357e+000	3.340344e-001
6.681948047226510e-003	3.180520e+000	3.486064e-001
6.687531810066232e-003	3.124682e+000	3.644791e-001
6.693115572905955e-003	3.068844e+000	3.816525e-001
6.712468950258754e-003	2.875311e+000	4.622036e-001
